"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","Severity","CVSSv2","Build Coordinates","CPE Confidence","Evidence Count"
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.e4.ui.widgets_1.1.0.v20150427-1751.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/linux/gtk/x86/plugins/org.eclipse.e4.ui.widgets_1.1.0.v20150427-1751.jar,,,2aae70efe55dc6545e3b39884b92d5c7,beeb21302f6dfd3e64d91feefe1b2e864fadcbc5,"",cpe:/a:widgets_project:widgets:1.1.0.v20150427,CVE-2015-6737,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in the Widgets extension for MediaWiki allows remote attackers to inject arbitrary web script or HTML via vectors involving base64 encoded content.,NVD,"Medium",4.3,"",LOW,18
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2008-5516,"CWE-264 Permissions, Privileges, and Access Controls",The web interface in git (gitweb) 1.5.x before 1.5.5 allows remote attackers to execute arbitrary commands via shell metacharacters related to git_search.,NVD,"High",7.5,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2010-2542,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,Stack-based buffer overflow in the is_git_directory function in setup.c in Git before 1.7.2.1 allows local users to gain privileges via a long gitdir: field in a .git file in a working copy.,NVD,"High",7.5,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2010-3906,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in Gitweb 1.7.3.3 and earlier allows remote attackers to inject arbitrary web script or HTML via the (1) f and (2) fp parameters.,NVD,"Medium",4.3,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2013-0308,CWE-20 Improper Input Validation,"The imap-send command in GIT before 1.8.1.4 does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",NVD,"Medium",4.3,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2014-9938,CWE-116 Improper Encoding or Escaping of Output,"contrib/completion/git-prompt.sh in Git before 1.9.3 does not sanitize branch names in the PS1 variable, allowing a malicious repository to cause code execution.",NVD,"Medium",6.8,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2015-7082,,"Multiple unspecified vulnerabilities in Git before 2.5.4, as used in Apple Xcode before 7.2, have unknown impact and attack vectors.  NOTE: this CVE is associated only with Xcode use cases.",NVD,"High",10.0,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2015-7545,CWE-284 Improper Access Control,"The (1) git-remote-ext and (2) unspecified other remote helper programs in Git before 2.3.10, 2.4.x before 2.4.10, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 do not properly restrict the allowed protocols, which might allow remote attackers to execute arbitrary code via a URL in a (a) .gitmodules file or (b) unknown other sources in a submodule.",NVD,"High",7.5,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/macosx/cocoa/x86_64/Eclipse.app/Contents/Eclipse/plugins/org.eclipse.scava.platform.vcs.git_0.0.1.201809101813.jar,,,c3a43ff0f5abcb3ebe310a445520d24f,99ee97e078123ba84b84873bff6f521cc13a11d2,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"cpe:/a:git_project:git:0.0.1.201809, cpe:/a:git:git:0.0.1.201809",CVE-2017-14867,CWE-20 Improper Input Validation,"Git before 2.10.5, 2.11.x before 2.11.4, 2.12.x before 2.12.5, 2.13.x before 2.13.6, and 2.14.x before 2.14.2 uses unsafe Perl scripts to support subcommands such as cvsserver, which allows attackers to execute arbitrary OS commands via shell metacharacters in a module name. The vulnerable code is reachable via git-shell even without CVS support.",NVD,"High",9.0,org.eclipse.scava:org.eclipse.scava.platform.vcs.git:0.0.1-SNAPSHOT,"LOW, LOW",20
gh_crossminer_scava,"oct. 11, 2018 at 16:38:21 +02:00",com.fasterxml.jackson_2.3.1.jar,/home/boris/Projects/gh_crossminer_scava/metric-platform/releng/org.eclipse.scava.product/target/products/scava-product/win32/win32/x86/plugins/com.fasterxml.jackson_2.3.1.jar,,,13e0fc14cccbe9bda8a4d9ec74e8a646,d9cb9934a1e962c9156b8eb6cff63fa184ebb1ec,org.eclipse.scava:com.fasterxml.jackson:2.3.1,cpe:/a:fasterxml:jackson:2.3.1,CVE-2016-3720,,XML external entity (XXE) vulnerability in XmlMapper in the Data format extension for Jackson (aka jackson-dataformat-xml) allows attackers to have unspecified impact via unknown vectors.,NVD,"High",7.5,org.eclipse.scava:com.fasterxml.jackson:2.3.1,LOW,17
